id;content;metadata;commune;code_postal;departement;code_departement;type_local;superficie_carrez;superficie_terrain;nb_pieces;date_vente;valeur
2492bf37-5cd3-497b-bab7-077d20862b4d;débile;../fake-data/blob/hipster.txt;concurrence avex;12391;amorphe;4174;aïe heurter camarade;5484;21214;2432;2024-03-21;7547.01
a645b1a7-249a-4f23-b621-162c1af62da6;adorable;../fake-data/blob/hipster.txt;ouch sauf;10741;serviable personnel au prix de;19642;lors de de façon que de façon que;18140;28906;5147;2024-03-21;16699.02
10684dcf-ce0d-4dae-9832-a647e6506649;divinement écraser;../fake-data/blob/hipster.txt;biathlète;28130;que lorsque également;5014;alors que croâ ferme;12624;32590;26189;2024-03-20;12898.05
2081bb5b-e96c-4928-bd95-da82fccbc294;secouriste passager;../fake-data/blob/hipster.txt;là-haut sans que bè;16187;sage snif spécialiste;20867;direction en dedans de séduire;17773;15902;23254;2024-03-21;13947.32
2cb73c60-dc93-428a-b668-5c98fe1d503c;psitt un peu;../fake-data/blob/hipster.txt;espiègle lâche prout;24055;cultiver étant donné que;23316;quand;5237;27486;28782;2024-03-20;1438.15
3efd879b-7394-46e1-b6c7-61af7e33ca86;souper;../fake-data/blob/hipster.txt;ronron alors que ouah;9124;où sincère;27867;à travers;32214;30158;10320;2024-03-20;25188.77
f776a6a0-1d6a-4ad0-a2c5-dbe53c689bb9;drelin;../fake-data/blob/hipster.txt;hypocrite triathlète énorme;12329;crever psitt;19450;contrôler;24801;10601;22077;2024-03-20;18728.98
2755b906-28a1-4b0e-8168-234dba21739e;sembler à travers;../fake-data/blob/hipster.txt;athlète;11474;à moins de;26274;dissoudre certainement;12082;2594;21017;2024-03-21;23510.98
d59dce72-eff6-48d7-b351-232d40e3b60e;vers actionnaire;../fake-data/blob/hipster.txt;oups quitte à préférer;32641;en explorer;20830;séculaire;1153;4018;31683;2024-03-21;9258.79
2a6e5b53-f921-47f4-af3b-f7ad90a46e5f;miam même si plouf;../fake-data/blob/hipster.txt;quasiment rapide;21985;svelte;8609;bè arrière rectorat;17584;16577;22212;2024-03-21;3421.33
